 ;Area;Circ.;Feret;FeretX;FeretY;FeretAngle;MinFeret;AR;Round;Solidity
1550;2.323E-5;1.000;0.007;1.125;5.084;135.000;0.005;1.000;1.000;1.000
1551;3.484E-5;1.000;0.009;2.590;5.084;123.690;0.007;1.291;0.775;0.800
1552;4.645E-4;0.481;0.048;7.130;5.087;149.534;0.015;4.116;0.243;0.766
1553;1.452E-4;1.000;0.017;7.217;5.096;33.690;0.012;1.475;0.678;0.877
1554;2.845E-4;0.862;0.026;7.634;5.087;111.801;0.014;1.859;0.538;0.907
1555;3.019E-4;0.766;0.029;1.475;5.096;155.556;0.016;1.958;0.511;0.867
1556;4.239E-4;0.907;0.030;3.496;5.118;61.390;0.021;1.532;0.653;0.907
1557;9.871E-5;0.845;0.018;1.181;5.094;164.055;0.007;2.272;0.440;0.895
1558;5.806E-6;1.000;0.003;8.166;5.094;135.000;0.002;1.000;1.000;1.000
1559;2.497E-4;0.515;0.034;8.552;5.096;111.038;0.013;3.479;0.287;0.717
1560;1.161E-4;0.838;0.016;7.106;5.113;63.435;0.012;1.326;0.754;0.833
1561;4.645E-5;1.000;0.012;7.084;5.111;36.870;0.007;1.939;0.516;0.842
1562;2.903E-5;1.000;0.009;5.786;5.106;146.310;0.005;1.553;0.644;0.909
1563;1.161E-4;0.605;0.022;1.496;5.128;40.601;0.010;2.586;0.387;0.690
1564;6.968E-5;0.851;0.015;3.906;5.123;51.340;0.008;2.148;0.465;0.800
1565;5.226E-5;1.000;0.012;1.169;5.113;143.130;0.007;1.539;0.650;0.900
1566;1.219E-4;0.880;0.018;5.733;5.116;156.801;0.010;1.605;0.623;0.875
1567;1.684E-4;0.657;0.025;7.084;5.130;29.055;0.011;2.684;0.373;0.795
1568;3.948E-4;0.978;0.026;2.511;5.123;146.310;0.022;1.078;0.928;0.932
